ds,yhat,yhat_lower,yhat_upper
2014-01-03,1548.0363928516922,-2423.482840959913,5716.143932330229
2014-01-04,1052.6922275639747,-3555.158008961484,5203.3463712833045
2014-01-05,1144.5140059207768,-3053.5605038439353,5317.19608445028
2014-01-06,1269.848678209647,-2711.0349638356865,5176.804119231171
2014-01-07,612.3716719764243,-3254.2374779392967,4732.55060558294
2014-01-09,822.5231083841109,-3497.1238107766585,5083.600044894372
2014-01-10,1043.267706523429,-2958.6494772046735,5071.252584941578
2014-01-11,613.103062131521,-3352.7891495031413,4844.121320584916
2014-01-13,972.9260840062218,-2764.5670392092084,5448.133126984291
2014-01-14,390.01112856042687,-3711.922253673886,4315.161031816003
2014-01-15,-467.87473435634865,-4604.935675768089,3647.530650308465
2014-01-16,747.9997403369672,-3576.417887155141,4871.817582583061
2014-01-18,674.3727609991623,-3270.7018604216,4887.667091376629
2014-01-19,895.6753460309081,-3353.6772050943828,5109.91559558519
2014-01-20,1146.4657786994599,-3188.909389415729,5155.4630905815075
2014-01-21,607.8058200415923,-3712.869810078692,4826.833105022504
2014-01-23,1025.9622248147202,-2911.4680923647716,5034.061270602455
2014-01-26,1185.9039700263904,-3054.630432139271,5240.139918018647
2014-01-27,1419.7969806374695,-2918.910368878057,5407.757168647079
2014-01-28,854.3980655936535,-3245.5583466197345,5038.523261830553
2014-01-30,1192.7915380089726,-2765.5792569935616,5418.447495292621
2014-01-31,1447.5439157796852,-2690.962499622467,5849.710511763954
2014-02-01,1030.6524260918331,-3035.8713971454818,5469.092615668236
2014-02-02,1184.8821167073415,-3179.838643128119,5534.022210660334
2014-02-03,1355.764730123304,-2610.6182053622256,5471.860188966829
2014-02-04,726.5556201086998,-3138.76158860336,5256.484375878543
2014-02-06,941.7642901125427,-3209.4646973667077,5089.376698483626
2014-02-07,1140.5002298608015,-2844.9034284543013,5298.515391076487
2014-02-08,673.4289804554032,-3504.2483422320574,4816.165933365766
2014-02-11,267.40884072704966,-3790.0929123307383,4326.262001405394
2014-02-12,-668.3150180549376,-4577.914860330868,3658.7733787754382
2014-02-14,672.7488377215464,-3731.0343028263815,4795.695499625234
2014-02-15,225.87835826449987,-3852.005543417145,4460.975850171609
2014-02-16,368.9060659972092,-3814.030074067622,4423.1590588464405
2014-02-17,548.2229227097561,-3633.7043113363297,4362.337260454757
2014-02-18,-52.505801511954814,-3918.953694326801,4190.532023898996
